# JLPT N1 文法（起始題庫，之後可增補）
# 格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～をもって |  | 「以～、憑藉～；於～（時間）」（正式） | 名詞＋をもって | 本日をもって閉店いたします。 | ほんじつをもってへいてんいたします。 | 本店於今日結束營業。
～をよそに |  | 「無視～、不顧～」 | 名詞＋をよそに | 親の心配をよそに、彼は旅に出た。 | おやのしんぱいをよそに、かれはたびにでた。 | 他不顧父母擔心就去旅行了。
～を余儀なくされる | ～をよぎなくされる | 「被迫～、不得不～」 | 名詞＋を余儀なくされる | 資金不足で計画の中止を余儀なくされた。 | しきんぶそくでけいかくのちゅうしをよぎなくされた。 | 因資金不足被迫中止計畫。
～ならではの |  | 「只有～才有的」 | 名詞＋ならではの | プロならではの技術だ。 | プロならではのぎじゅつだ。 | 這是專家才有的技術。
～いかんによらず／～いかんにかかわらず |  | 「無論～如何」（正式） | 名詞（＋の）＋いかんによらず | 理由のいかんによらず、遅刻は認めない。 | りゆうのいかんによらず、ちこくはみとめない。 | 不論理由為何都不接受遲到。
～をものともせず |  | 「不畏～、不把～當一回事」 | 名詞＋をものともせず | 荒天をものともせず出港した。 | こうてんをものともせずしゅっこうした。 | 不畏惡劣天候出港了。
～にひきかえ |  | 「與～相反、相較之下」 | 名詞（＋の）／普通形＋の＋にひきかえ | 兄の慎重さにひきかえ、弟は大胆だ。 | あにのしんちょうさにひきかえ、おとうとはだいたんだ。 | 相較於哥哥的謹慎，弟弟很大膽。
～きらいがある |  | 「有～的傾向」（多為負面） | 動詞辭書形／名詞＋の＋きらいがある | 彼は物事を悲観的に見るきらいがある。 | かれはものごとをひかんてきにみるきらいがある。 | 他有把事情看得悲觀的傾向。
～に足る | ～にたる | 「值得～」 | 動詞辭書形／名詞＋に足る | 信頼するに足る人物だ。 | しんらいするにたるじんぶつだ。 | 是值得信賴的人。
～すら |  | 「連～都」（極端例子） | 名詞＋すら | 専門家すら答えられない問題だ。 | せんもんかすらこたえられないもんだいだ。 | 連專家都答不出的問題。
～だに |  | 「連～也（不）；光是～就」 | 動詞辭書形／名詞＋だに | そんなことは想像だにしなかった。 | そんなことはそうぞうだにしなかった。 | 那種事我連想都沒想過。
～ともなると／～ともなれば |  | 「一旦到了～的地步」 | 名詞／動詞辭書形＋ともなると | 管理職ともなると、責任も重い。 | かんりしょくともなると、せきにんもおもい。 | 一旦當上主管，責任也重。
～を皮切りに | ～をかわきりに | 「以～為開端」 | 名詞＋を皮切りに | 東京を皮切りに全国ツアーが始まった。 | とうきょうをかわきりにぜんこくツアーがはじまった。 | 以東京為起點展開全國巡演。
～べく |  | 「為了～」（正式・書面） | 動詞辭書形＋べく | 真相を確かめるべく調査を始めた。 | しんそうをたしかめるべくちょうさをはじめた。 | 為查明真相而展開調查。
