# JLPT N5 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯
# 以 # 開頭或空白行會被忽略。編輯後執行： python scripts/build_data.py

# --- 人稱・指示 ---
私 | わたし | 我 | 代名詞 | 私は台湾人です。 | わたしはたいわんじんです。 | 我是台灣人。
私達 | わたしたち | 我們 | 代名詞 | 私達は友達です。 | わたしたちはともだちです。 | 我們是朋友。
貴方 | あなた | 你 | 代名詞 | 貴方の名前は何ですか。 | あなたのなまえはなんですか。 | 你的名字是什麼？
彼 | かれ | 他；男朋友 | 代名詞 | 彼は先生です。 | かれはせんせいです。 | 他是老師。
彼女 | かのじょ | 她；女朋友 | 代名詞 | 彼女はとても親切です。 | かのじょはとてもしんせつです。 | 她非常親切。
これ | これ | 這個 | 代名詞 | これは私のかばんです。 | これはわたしのかばんです。 | 這是我的包包。
それ | それ | 那個（近對方） | 代名詞 | それは何ですか。 | それはなんですか。 | 那是什麼？
あれ | あれ | 那個（遠處） | 代名詞 | あれは学校です。 | あれはがっこうです。 | 那是學校。
どれ | どれ | 哪個 | 代名詞 | どれがあなたの傘ですか。 | どれがあなたのかさですか。 | 哪一把是你的傘？
ここ | ここ | 這裡 | 代名詞 | ここは駅です。 | ここはえきです。 | 這裡是車站。
そこ | そこ | 那裡 | 代名詞 | そこに座ってください。 | そこにすわってください。 | 請坐在那裡。
あそこ | あそこ | 那裡（遠） | 代名詞 | あそこに銀行があります。 | あそこにぎんこうがあります。 | 那邊有銀行。
誰 | だれ | 誰 | 疑問詞 | あの人は誰ですか。 | あのひとはだれですか。 | 那個人是誰？
何 | なに | 什麼 | 疑問詞 | 何を食べますか。 | なにをたべますか。 | 要吃什麼？
何時 | いつ | 什麼時候 | 疑問詞 | 試験はいつですか。 | しけんはいつですか。 | 考試是什麼時候？
何処 | どこ | 哪裡 | 疑問詞 | トイレはどこですか。 | トイレはどこですか。 | 廁所在哪裡？
どう | どう | 如何、怎麼樣 | 副詞 | 味はどうですか。 | あじはどうですか。 | 味道如何？
幾ら | いくら | 多少錢 | 疑問詞 | これはいくらですか。 | これはいくらですか。 | 這個多少錢？
幾つ | いくつ | 幾個；幾歲 | 疑問詞 | りんごはいくつありますか。 | りんごはいくつありますか。 | 有幾顆蘋果？

# --- 家庭 ---
家族 | かぞく | 家人、家庭 | 名詞 | 家族は四人です。 | かぞくはよにんです。 | 家裡有四個人。
父 | ちち | （我的）父親 | 名詞 | 父は会社員です。 | ちちはかいしゃいんです。 | 我父親是上班族。
母 | はは | （我的）母親 | 名詞 | 母は料理が上手です。 | はははりょうりがじょうずです。 | 我母親很會做菜。
お父さん | おとうさん | 父親（尊稱） | 名詞 | お父さんはお元気ですか。 | おとうさんはおげんきですか。 | 令尊還好嗎？
お母さん | おかあさん | 母親（尊稱） | 名詞 | お母さんは家にいます。 | おかあさんはいえにいます。 | 媽媽在家。
兄 | あに | （我的）哥哥 | 名詞 | 兄は大学生です。 | あにはだいがくせいです。 | 我哥哥是大學生。
姉 | あね | （我的）姐姐 | 名詞 | 姉は東京に住んでいます。 | あねはとうきょうにすんでいます。 | 我姐姐住在東京。
弟 | おとうと | （我的）弟弟 | 名詞 | 弟は高校生です。 | おとうとはこうこうせいです。 | 我弟弟是高中生。
妹 | いもうと | （我的）妹妹 | 名詞 | 妹はまだ子供です。 | いもうとはまだこどもです。 | 我妹妹還是小孩。
子供 | こども | 小孩 | 名詞 | 子供が三人います。 | こどもがさんにんいます。 | 有三個小孩。
友達 | ともだち | 朋友 | 名詞 | 友達と映画を見ます。 | ともだちとえいがをみます。 | 和朋友看電影。

# --- 職業・身分 ---
先生 | せんせい | 老師 | 名詞 | 田中先生は日本語の先生です。 | たなかせんせいはにほんごのせんせいです。 | 田中老師是日語老師。
