# JLPT N2 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

課題 | かだい | 課題、待解決的問題 | 名詞 | 環境問題は大きな課題です。 | かんきょうもんだいはおおきなかだいです。 | 環境問題是重大課題。
傾向 | けいこう | 傾向 | 名詞 | 若者は都市に集まる傾向があります。 | わかものはとしにあつまるけいこうがあります。 | 年輕人有向都市集中的傾向。
効果 | こうか | 效果 | 名詞 | この薬は効果がありました。 | このくすりはこうかがありました。 | 這個藥有效。
効率 | こうりつ | 效率 | 名詞 | 仕事の効率を上げたいです。 | しごとのこうりつをあげたいです。 | 想提高工作效率。
価値 | かち | 價值 | 名詞 | 挑戦する価値があります。 | ちょうせんするかちがあります。 | 值得一試。
評価 | ひょうか | 評價 | 名詞 | 上司から高い評価を受けました。 | じょうしからたかいひょうかをうけました。 | 獲得上司的高度評價。
基準 | きじゅん | 基準、標準 | 名詞 | 選ぶ基準は何ですか。 | えらぶきじゅんはなんですか。 | 選擇的標準是什麼？
方針 | ほうしん | 方針 | 名詞 | 会社の方針が変わりました。 | かいしゃのほうしんがかわりました。 | 公司的方針改變了。
制度 | せいど | 制度 | 名詞 | 新しい制度が導入されました。 | あたらしいせいどがどうにゅうされました。 | 導入了新制度。
組織 | そしき | 組織 | 名詞 | 大きな組織で働いています。 | おおきなそしきではたらいています。 | 在大型組織裡工作。
分野 | ぶんや | 領域 | 名詞 | 医療の分野で活躍しています。 | いりょうのぶんやでかつやくしています。 | 在醫療領域大展身手。
現象 | げんしょう | 現象 | 名詞 | 珍しい自然現象を観察しました。 | めずらしいしぜんげんしょうをかんさつしました。 | 觀察了罕見的自然現象。
要素 | ようそ | 要素 | 名詞 | 成功には運の要素もあります。 | せいこうにはうんのようそもあります。 | 成功也有運氣的要素。
特徴 | とくちょう | 特徵 | 名詞 | この製品の特徴を説明します。 | このせいひんのとくちょうをせつめいします。 | 說明這項產品的特徵。
矛盾 | むじゅん | 矛盾 | 名詞 | 話に矛盾があります。 | はなしにむじゅんがあります。 | 話裡有矛盾。
影 | かげ | 影子、陰影 | 名詞 | 木の影で休みました。 | きのかげでやすみました。 | 在樹蔭下休息。
物事 | ものごと | 事物 | 名詞 | 物事を前向きに考えます。 | ものごとをまえむきにかんがえます。 | 正面地看待事物。
論理 | ろんり | 邏輯 | 名詞 | 彼の説明は論理が通っています。 | かれのせつめいはろんりがとおっています。 | 他的說明合乎邏輯。
背景 | はいけい | 背景 | 名詞 | 事件の背景を調べます。 | じけんのはいけいをしらべます。 | 調查事件的背景。
姿勢 | しせい | 姿勢、態度 | 名詞 | 学ぶ姿勢が大切です。 | まなぶしせいがたいせつです。 | 學習的態度很重要。

