# JLPT N1 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

意図 | いと | 意圖 | 名詞 | 発言の意図が分かりません。 | はつげんのいとがわかりません。 | 不明白發言的意圖。
概念 | がいねん | 概念 | 名詞 | この概念は説明が難しいです。 | このがいねんはせつめいがむずかしいです。 | 這個概念很難說明。
前提 | ぜんてい | 前提 | 名詞 | 合意を前提に話を進めます。 | ごういをぜんていにはなしをすすめます。 | 以達成共識為前提推進。
本質 | ほんしつ | 本質 | 名詞 | 問題の本質を見極めます。 | もんだいのほんしつをみきわめます。 | 看清問題的本質。
根拠 | こんきょ | 根據 | 名詞 | その主張には根拠がありません。 | そのしゅちょうにはこんきょがありません。 | 那個主張沒有根據。
妥協 | だきょう | 妥協 | 名詞 | 双方が妥協して合意しました。 | そうほうがだきょうしてごういしました。 | 雙方妥協達成共識。
偏見 | へんけん | 偏見 | 名詞 | 偏見を持たずに判断します。 | へんけんをもたずにはんだんします。 | 不帶偏見地判斷。
葛藤 | かっとう | 糾葛、內心衝突 | 名詞 | 理想と現実の葛藤に悩みます。 | りそうとげんじつのかっとうになやみます。 | 為理想與現實的矛盾而苦惱。
慣習 | かんしゅう | 慣例、習俗 | 名詞 | 地域の慣習を尊重します。 | ちいきのかんしゅうをそんちょうします。 | 尊重當地的習俗。
権威 | けんい | 權威 | 名詞 | 彼はこの分野の権威です。 | かれはこのぶんやのけんいです。 | 他是這個領域的權威。
弊害 | へいがい | 弊病、害處 | 名詞 | 制度の弊害が指摘されています。 | せいどのへいがいがしてきされています。 | 制度的弊病受到指摘。
潜在 | せんざい | 潛在 | 名詞 | 潜在的なリスクを評価します。 | せんざいてきなリスクをひょうかします。 | 評估潛在風險。
把握 | はあく | 掌握、了解 | 名詞 | 全体像を把握しています。 | ぜんたいぞうをはあくしています。 | 掌握了整體樣貌。
是正 | ぜせい | 糾正、改正 | 名詞 | 不平等の是正が求められます。 | ふびょうどうのぜせいがもとめられます。 | 要求糾正不平等。
遂行 | すいこう | 完成、執行（任務） | 名詞 | 任務を無事に遂行しました。 | にんむをぶじにすいこうしました。 | 順利完成了任務。
一環 | いっかん | 一環 | 名詞 | 教育改革の一環です。 | きょういくかいかくのいっかんです。 | 是教育改革的一環。
兆し | きざし | 徵兆 | 名詞 | 景気回復の兆しが見えます。 | けいきかいふくのきざしがみえます。 | 看得到景氣復甦的徵兆。
