# JLPT N4 文法   格式： 句型 | 讀音 | 中文意思 | 接續結構 | 例句 | 例句假名 | 例句中譯

～たことがあります |  | 「曾經～過」表示經驗 | 動詞た形＋ことがあります | 富士山に登ったことがあります。 | ふじさんにのぼったことがあります。 | 曾經爬過富士山。
～ことができます |  | 「能夠～、會～」表示能力或可能 | 動詞辭書形＋ことができます | 私はピアノを弾くことができます。 | わたしはピアノをひくことができます。 | 我會彈鋼琴。
～可能形（読める等） | ～かのうけい | 動詞可能形「能～」 | 五段：語尾e＋る／一段：る→られる | 辛いものが食べられません。 | からいものがたべられません。 | 不敢吃辣的東西。
～つもりです |  | 「打算～」表示意志・計畫 | 動詞辭書形／ない形＋つもりです | 来年、留学するつもりです。 | らいねん、りゅうがくするつもりです。 | 打算明年去留學。
～予定です | ～よていです | 「預定～」表示既定安排 | 動詞辭書形／名詞＋の＋予定です | 会議は三時に始まる予定です。 | かいぎはさんじにはじまるよていです。 | 會議預定三點開始。
～と思います | ～とおもいます | 「我覺得／我認為～」 | 普通形＋と思います | 彼は来ないと思います。 | かれはこないとおもいます。 | 我想他不會來。
～と言いました | ～といいました | 「說了～」引用他人的話 | 普通形＋と言いました | 田中さんは行くと言いました。 | たなかさんはいくといいました。 | 田中先生說要去。
～でしょう？／～だろう |  | 「～對吧？」尋求同意／推測 | 普通形＋でしょう | この問題は難しいでしょう。 | このもんだいはむずかしいでしょう。 | 這題很難吧。
～かもしれません |  | 「也許～、可能～」低確信推測 | 普通形＋かもしれません | 午後、雨が降るかもしれません。 | ごご、あめがふるかもしれません。 | 下午可能會下雨。
～はずです |  | 「應該～」有根據的推斷 | 普通形（な形＋な／名詞＋の）＋はずです | 彼はもう着いているはずです。 | かれはもうついているはずです。 | 他應該已經到了。
～なければならない |  | 「必須～」（書面・普通形） | 動詞ない形（去ない）＋なければならない | 規則を守らなければならない。 | きそくをまもらなければならない。 | 必須遵守規則。
～なくてはいけない |  | 「不～不行、必須～」 | 動詞ない形（去ない）＋なくてはいけない | もっと野菜を食べなくてはいけない。 | もっとやさいをたべなくてはいけない。 | 必須多吃蔬菜。
～たほうがいいです |  | 「最好～」表示建議 | 動詞た形＋ほうがいいです | 早く寝たほうがいいですよ。 | はやくねたほうがいいですよ。 | 你最好早點睡。
～ないほうがいいです |  | 「最好不要～」 | 動詞ない形＋ほうがいいです | 無理をしないほうがいいです。 | むりをしないほうがいいです。 | 最好別勉強。
～てみます |  | 「試著～看看」 | 動詞て形＋みます | この服を着てみます。 | このふくをきてみます。 | 試穿這件衣服看看。
～ておきます |  | 「事先～、先～好」 | 動詞て形＋おきます | 旅行の前に切符を買っておきます。 | りょこうのまえにきっぷをかっておきます。 | 旅行前先買好票。
～てしまいます |  | 「～完了／不小心～了」（完成・遺憾） | 動詞て形＋しまいます | 宿題を全部やってしまいました。 | しゅくだいをぜんぶやってしまいました。 | 把作業全做完了。
～てあります |  | 「（有人做了而）處於～的狀態」 | 他動詞て形＋あります | 壁に地図が貼ってあります。 | かべにちずがはってあります。 | 牆上貼著地圖。
～ていく／～てくる |  | 「～下去／～以來」表示變化的方向 | 動詞て形＋いく／くる | だんだん暖かくなってきました。 | だんだんあたたかくなってきました。 | 漸漸變暖了。
～ながら |  | 「一邊～一邊～」（同時進行） | 動詞ます形＋ながら | テレビを見ながら食事します。 | テレビをみながらしょくじします。 | 一邊看電視一邊吃飯。
～すぎます |  | 「太過～」 | 動詞ます形／形容詞語幹＋すぎます | 昨日は飲みすぎました。 | きのうはのみすぎました。 | 昨天喝太多了。
～やすい／～にくい |  | 「容易～／難以～」 | 動詞ます形＋やすい／にくい | このペンは書きやすいです。 | このペンはかきやすいです。 | 這支筆很好寫。
～方 | ～かた | 「～的方法、做法」 | 動詞ます形＋方 | 漢字の読み方が分かりません。 | かんじのよみかたがわかりません。 | 不知道漢字的讀法。
～ようになります |  | 「變得會～、變得能～」表示變化 | 動詞辭書形／可能形＋ようになります | 日本語が話せるようになりました。 | にほんごがはなせるようになりました。 | 變得能說日語了。
～ようにします |  | 「盡量做到～、養成～的習慣」 | 動詞辭書形／ない形＋ようにします | 毎日運動するようにしています。 | まいにちうんどうするようにしています。 | 我盡量每天運動。
～ために |  | 「為了～」表示目的 | 動詞辭書形／名詞＋の＋ために | 健康のために野菜を食べます。 | けんこうのためにやさいをたべます。 | 為了健康而吃蔬菜。
～のに |  | 「明明～卻～」（逆接・帶不滿） | 普通形（な形＋な／名詞＋な）＋のに | 薬を飲んだのに、治りません。 | くすりをのんだのに、なおりません。 | 明明吃了藥卻沒好。
～ので |  | 「因為～」（客觀理由，語氣較柔） | 普通形（な形＋な／名詞＋な）＋ので | 熱があるので、休みます。 | ねつがあるので、やすみます。 | 因為發燒所以請假。
～し、～し |  | 「又～又～」列舉理由 | 普通形＋し | 安いし、おいしいし、この店が好きです。 | やすいし、おいしいし、このみせがすきです。 | 又便宜又好吃，我喜歡這家店。
