# JLPT N3 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞 ---
影響 | えいきょう | 影響 | 名詞 | 天気は気分に影響します。 | てんきはきぶんにえいきょうします。 | 天氣會影響心情。
関係 | かんけい | 關係 | 名詞 | 二人の関係はいいです。 | ふたりのかんけいはいいです。 | 兩人的關係很好。
状況 | じょうきょう | 狀況 | 名詞 | 現在の状況を説明します。 | げんざいのじょうきょうをせつめいします。 | 說明目前的狀況。
状態 | じょうたい | 狀態 | 名詞 | 機械はいい状態です。 | きかいはいいじょうたいです。 | 機器狀態良好。
結果 | けっか | 結果 | 名詞 | 試験の結果が出ました。 | しけんのけっかがでました。 | 考試結果出來了。
結論 | けつろん | 結論 | 名詞 | まだ結論が出ていません。 | まだけつろんがでていません。 | 還沒有結論。
目的 | もくてき | 目的 | 名詞 | 旅行の目的は何ですか。 | りょこうのもくてきはなんですか。 | 旅行的目的是什麼？
目標 | もくひょう | 目標 | 名詞 | 今年の目標を立てました。 | ことしのもくひょうをたてました。 | 訂了今年的目標。
方法 | ほうほう | 方法 | 名詞 | もっといい方法があります。 | もっといいほうほうがあります。 | 有更好的方法。
条件 | じょうけん | 條件 | 名詞 | この条件では働けません。 | このじょうけんでははたらけません。 | 這種條件下無法工作。
責任 | せきにん | 責任 | 名詞 | 責任を持って仕事をします。 | せきにんをもってしごとをします。 | 負責任地工作。
権利 | けんり | 權利 | 名詞 | 誰にでもその権利があります。 | だれにでもそのけんりがあります。 | 任何人都有那個權利。
記録 | きろく | 紀錄 | 名詞 | 会議の記録を取ります。 | かいぎのきろくをとります。 | 做會議紀錄。
情報 | じょうほう | 資訊 | 名詞 | 新しい情報が入りました。 | あたらしいじょうほうがはいりました。 | 收到了新資訊。
資料 | しりょう | 資料 | 名詞 | 会議の資料をコピーします。 | かいぎのしりょうをコピーします。 | 影印會議資料。
知識 | ちしき | 知識 | 名詞 | 専門的な知識が必要です。 | せんもんてきなちしきがひつようです。 | 需要專業知識。
能力 | のうりょく | 能力 | 名詞 | 彼には十分な能力があります。 | かれにはじゅうぶんなのうりょくがあります。 | 他有足夠的能力。
性格 | せいかく | 性格 | 名詞 | 明るい性格です。 | あかるいせいかくです。 | 是開朗的性格。
印象 | いんしょう | 印象 | 名詞 | 第一印象がよかったです。 | だいいちいんしょうがよかったです。 | 第一印象很好。
態度 | たいど | 態度 | 名詞 | 彼の態度が気になります。 | かれのたいどがきになります。 | 我在意他的態度。
感情 | かんじょう | 感情、情緒 | 名詞 | 感情を表に出さない人です。 | かんじょうをおもてにださないひとです。 | 是個不外露情緒的人。
記憶 | きおく | 記憶 | 名詞 | 子供の頃の記憶があまりありません。 | こどものころのきおくがあまりありません。 | 幾乎沒有小時候的記憶。
習慣 | しゅうかん | 習慣 | 名詞 | 早寝早起きの習慣をつけます。 | はやねはやおきのしゅうかんをつけます。 | 養成早睡早起的習慣。
伝統 | でんとう | 傳統 | 名詞 | この祭りには長い伝統があります。 | このまつりにはながいでんとうがあります。 | 這個祭典有悠久的傳統。
発展 | はってん | 發展 | 名詞 | 町は急速に発展しました。 | まちはきゅうそくにはってんしました。 | 城市快速發展。
成長 | せいちょう | 成長 | 名詞 | 子供の成長は早いです。 | こどものせいちょうははやいです。 | 孩子成長很快。
変化 | へんか | 變化 | 名詞 | 気温の変化が大きいです。 | きおんのへんかがおおきいです。 | 氣溫變化很大。
増加 | ぞうか | 增加 | 名詞 | 人口が増加しています。 | じんこうがぞうかしています。 | 人口正在增加。
減少 | げんしょう | 減少 | 名詞 | 客が減少しました。 | きゃくがげんしょうしました。 | 顧客減少了。
不足 | ふそく | 不足 | 名詞 | 睡眠不足で頭が痛いです。 | すいみんぶそくであたまがいたいです。 | 睡眠不足所以頭痛。
費用 | ひよう | 費用 | 名詞 | 修理の費用がかかります。 | しゅうりのひようがかかります。 | 修理要花費用。
収入 | しゅうにゅう | 收入 | 名詞 | 収入が増えました。 | しゅうにゅうがふえました。 | 收入增加了。
節約 | せつやく | 節約 | 名詞 | 電気を節約しましょう。 | でんきをせつやくしましょう。 | 節約用電吧。
貯金 | ちょきん | 存款、儲蓄 | 名詞 | 毎月少しずつ貯金します。 | まいつきすこしずつちょきんします。 | 每月一點一點存錢。
締め切り | しめきり | 截止日期 | 名詞 | レポートの締め切りは明日です。 | レポートのしめきりはあしたです。 | 報告的截止日是明天。
期限 | きげん | 期限 | 名詞 | 支払いの期限が過ぎました。 | しはらいのきげんがすぎました。 | 付款期限已過。
順番 | じゅんばん | 順序、輪流 | 名詞 | 順番を守ってください。 | じゅんばんをまもってください。 | 請按順序來。
範囲 | はんい | 範圍 | 名詞 | 試験の範囲は第五課までです。 | しけんのはんいはだいごかまでです。 | 考試範圍到第五課。
中心 | ちゅうしん | 中心 | 名詞 | 町の中心にある公園です。 | まちのちゅうしんにあるこうえんです。 | 位於市中心的公園。
角 | かど | 轉角、角 | 名詞 | 次の角を右に曲がってください。 | つぎのかどをみぎにまがってください。 | 下個轉角請右轉。
周り | まわり | 周圍 | 名詞 | 家の周りを散歩します。 | いえのまわりをさんぽします。 | 在家附近散步。
距離 | きょり | 距離 | 名詞 | 駅までの距離は約一キロです。 | えきまでのきょりはやくいちキロです。 | 到車站約一公里。
量 | りょう | 量 | 名詞 | 仕事の量が多すぎます。 | しごとのりょうがおおすぎます。 | 工作量太多。
種類 | しゅるい | 種類 | 名詞 | いろいろな種類のパンがあります。 | いろいろなしゅるいのパンがあります。 | 有各種各樣的麵包。
部分 | ぶぶん | 部分 | 名詞 | 分からない部分を質問します。 | わからないぶぶんをしつもんします。 | 針對不懂的部分提問。
全体 | ぜんたい | 全體、整體 | 名詞 | 全体で百人います。 | ぜんたいでひゃくにんいます。 | 總共有一百人。
以外 | いがい | 除…之外 | 名詞 | 日曜日以外は働いています。 | にちようびいがいははたらいています。 | 除了星期日都在工作。
以内 | いない | 之內 | 名詞 | 一週間以内に返事をください。 | いっしゅうかんいないにへんじをください。 | 請在一週內回覆。
最中 | さいちゅう | 正在…的時候 | 名詞 | 食事の最中に電話が鳴りました。 | しょくじのさいちゅうにでんわがなりました。 | 吃飯吃到一半電話響了。
締め切り前 | しめきりまえ | 截止前 | 名詞 | 締め切り前はいつも忙しいです。 | しめきりまえはいつもいそがしいです。 | 截止前總是很忙。

# --- 動詞 ---
含む | ふくむ | 包含 | 動詞 | 料金はサービス料を含みます。 | りょうきんはサービスりょうをふくみます。 | 費用包含服務費。
求める | もとめる | 尋求、要求 | 動詞 | 助けを求めました。 | たすけをもとめました。 | 尋求了幫助。
認める | みとめる | 承認、認可 | 動詞 | 自分の間違いを認めます。 | じぶんのまちがいをみとめます。 | 承認自己的錯誤。
許す | ゆるす | 原諒、允許 | 動詞 | 今回だけは許します。 | こんかいだけはゆるします。 | 只有這次原諒你。
表す | あらわす | 表達、表示 | 動詞 | 感謝の気持ちを言葉で表します。 | かんしゃのきもちをことばであらわします。 | 用言語表達感謝之情。
